document_id,clean_text,Sentiment
1,"It was an okay movie. Simu Liu is the son of the seemingly immortal master of the Ten Rings --always good to see Tony Leung, and I hope he soaked Disney --who winds up opposing his dad, and Awkwafina is his slacker sort-of girlfriend. They are fine in the leads, as is Meng'er Zhang as his sister, and Michelle Yeoh as their aunt -- always good to see her, and I hope she soaked Disney too.I have grown increasingly fond of martial arts films over the last couple of decades, and the decline of the movie musical is the reason why. They don't make movies like that any more, and when they try, they're often embarrassing. People don't like the unreality of people bursting out into song, or expressing their emotions through dance. No, they prefer the solid commonplace of people floating through space to kick each other in the head. To me, the fight choreography is its own dance, and the fight between Leung and Fala Chen when they meet and before they fall in love is a challenge dance as graceful as any between Astaire and Rogers.There are problems aplenty with this film. There's an immense amount of exposition, starting off with twenty minutes of it in Chinese. I'm not sure why Ben Kingsley as the fake 'Mandarin' from IRON MAN 3 is present except for a certain remnant of star power and connecting this to the rest of the MCU. Still, with my expectations not set particularly high, I had a good time.",negative
2,"Disney/Marvel has been applauded for its ethnic diversity in their superhero movies.There is a danger that it could evolve into a cookie cutter approach. Take the easy way out and follow the Black Panther formula.Shang-Chi and the Legend of the Ten Rings does ride that wave.Shaun/Shang-Chi (Simu Liu) is a slacker in San Francisco parking cars along with best friend Katy (Awkwafina.) Both live an easy lifestyle that involves hard partying. Their other friends have settled down and gone for career goals.For Shaun everything changes when he is attacked one day on the bus. Katy discovers that Shaun has some whip smart martial arts moves.Shaun believes that his father Wenwu a notorious gangster has sent the goons. His sister might also be in danger and flies off to find her.Indeed Wenwu is an infamous and long lived immortal thanks to the Ten Rings. He changed his bad ways when he met and married a woman from a mystical land called Tal-Lo which is in another dimension.Now Wenwu wants to be reunited with his children and go to Tal-Lo to free their mother who he believes is calling out to him. It might be a trap.As in Black Widow, the Marvel Universe is building up to its next phase of superheroes and villains. You sense that there is more to come and again this feels low stakes.Several characters pop in from previous Marvel movies. Liverpool FC is the soccer team of choice for Marvel.There is some balletic martial arts sequences and some inspired Jackie Chan type moves.However the shadow of Black Panther is not far away. The finale is too CGI heavy and it turns into a Godzilla monster on monster type bash with elements of Dune.",negative
3,"Shaun (Simu Liu) and Katy (Awkwafina) are parking valets underachievers in San Francisco. Katy refers to herself as ""the Asian Jeff Gordon."" After a fight on a bus where Shaun reveals himself as a martial arts fighter, the two of them travel to China so he can reunite with his sister (Meng'er Zhang) after six years. He was raised to be an assassin and to make a long story short, the opening sequence comes into play as they have to save the world.Marvel has done it again with graphics, special effects, characters, and the right blend of humor. I fell in love with Katy who was our voice of reason and comedy. I was so afraid they were going to Emma Stone her to death. If you love what Marvel has done in the past and are getting bored with them attempting to figure what to do after Thanos, then this is must see.",negative
4,"Of course I am just riffing off, teasing and making fun of certain things with my summary line. Though there is some truth in there too - especially if you consider the last third of the movie - quite fantastical, pun intended.But there is so much more here. And while you may have seen the bus scene already (I imagine many times), it still is quite the highlight and works wonders! Because there is even more to it than the trailer/teaser revealed! As is with the plot and the characters of the movie.I was able to watch it on an Imax screen and let me tell you ... wow! But also wow and much respect to Marvel and Feige and anyone involved that they dared to make the first ten minutes or so in chinese! And throwing a lot of chinese terms (slang?) in there as well - throughout! That gives it a touch of authenticity. How immigrants in America or anywhere else in the world grew up. I do the same with my Greek and German/English.It is also nice and while I am prone to be sarcastic, I really think it's a good thing to have such a major and big representation - especially nowadays with Anti-Asian hate/crime rising. All because of people blaming China and people of China for a virus ... the movie does not have that as a topic, it is entertainment after all, but in every promo and interview that the actors were involved it was something that was mentioned. Good for them and good for us, that this was made.I am a bit biased when it comes to the MCU and this did get a pure theatrical release, instead of the Black Widow treatment (which also was available on Disney plus and the cinemas at the same time). So there is not issue when it comes to that. And if you can watch it on the big screen - you will not be dissapointed! Now waiting for the other stuff to drop ... especially after the mid credit scene, that is such a tease ... the after the credits scene might also hint at something, but the bigger tease was midway through the credits (actually almost at the beginning of them to be honest).Sit back and enhoy the movie and the really funny characters ... and quite a few familiar faces. Some from the MCU and previous entries but also some from Asian cinema! Well done!",negative
5,"I was not expecting that, I had visions of a film along the same lines as Snake Eyes, that was an out of date bagel, this was a four course banquet.Fast paced, energetic, and relentless, not particularly the genre I normally go to, or enjoy, but I loved every second of it, a visual masterpiece. Superb acting, terrific musics, but it's produced in such a magical way, it is stunning.I plan on seeing this again, just to understand a few bits a little more.Go and watch it, you'll love it, 9/10.",negative
6,"The Marvel Cinematic Universe made a big impact with an almost all-black cast in Black Panther, then this film came along and gave the world its first high-profile Asian superhero, and from the trailer I saw, it looked very exciting. Basically, thousands of years ago, Xu Wenwu (Tony Leung) discovered ten mystical iron rings, granting its user immortality and other great powers. He establishes the Ten Rings organisation and throughout history conquers kingdoms and topples governments. In 1996, wanting to expand his power, Wenwu goes in search for Ta Lo, a mystical heavenly realm inhabited by Chinese mythological creatures. He travels through a magical forest to the Ta Lo village entrance but is stopped by guardian Ying Li (Fala Chen). The two fall in love, but Li leaves with Wenwu when he is rejected by the villagers. Wenwu abandons the Ten Rings, and they have two children, Shang-Chi and Xialing. When Shang-Chi is seven years old (Jayden Zhang), Li is murdered by Wenwu's enemies, the Iron Gang. Wenwu once again wields the rings to massacre the Iron Gang, resumes leadership of his organisation, and has Shang-Chi go through brutal training in martial arts. Xialing from childhood (Elodie Fong) secretly copies this training. When Shang-Chi is fourteen (Arnold Sun), Wenwu sends him to assassinate the leader of the Iron Gang. But Shang-Chi is demoralised after fulfilling his mission and decides to run away to America, settling in San Francisco and changing his name to ""Shaun"". In the present day, Shang-Chi (Simu Liu) works as a valet with his best friend Katy (Awkwafina), who knows nothing about his past. They are attacked on a bus by the Ten Rings, led by high-ranking agent Razor Fist (Florian ""Big Nasty"" Munteanu) who steal a pendant that Shang-Chi was given by his mother. Wenwu anonymously provides Shang-Chi with the location of his sister and, fearing that the Ten Rings will go after Xialing's matching pendant from their mother, Shang-Chi decides to meet her. He reveals his past to Katy, who insists on helping him. They find Xialing (Meng'er Zhang) at an underground fight club in Macau, which she founded after escaping from Wenwu. The Ten Rings attack the fight club and Wenwu arrives to capture Shang-Chi, Katy, Xialing, and her pendant. They are taken to the Ten Rings' compound, where Wenwu uses the pendants to reveal a magical map leading to Ta Lo. Wenwu explains that he has heard Li calling to him and believes she is alive and being held captive in Ta Lo behind a sealed gate. He plans to destroy the village unless they release her. When Shang-Chi, Xialing and Katy object, Wenwu imprisons them. Also incarcerated is former actor Trevor Slattery (Sir Ben Kingsley), whom the Ten Rings imprisoned for impersonating Wenwu, as The Mandarin, and his hundun companion Morris, who offers to guide them to Ta Lo. The group escapes and travel to Ta Lo, which exists in a separate dimension with various Chinese mythological creatures. They meet Ying Nan (Michelle Yeoh), Li's sister, who explains the history of Ta Lo: thousands of years ago, the village was attacked by the soul-consuming Dweller-in-Darkness and its minions but was saved by a Chinese dragon called the Great Protector who helped seal the Dark Gate to the Dweller's world. According to Nan, the Dweller-in-Darkness has been influencing Wenwu to believe Li is still alive so that he will open the Gate. Shang-Chi, Xialing, and Katy join the villagers in training and preparing for Wenwu's arrival, using outfits and weapons crafted from dragon scales. Wenwu and the Ten Rings arrive and attack. Wenwu overpowers Shang-Chi and forces him into the nearby lake, then destroys the Gate with the rings. Some of Dweller's minions escape, and the villagers join forces with the Ten Rings to fight them. Shang-Chi is revived by the Great Protector, which leaves the lake to battle the minions. Wenwu and Shang-Chi fight once more, with Shang-Chi gaining the upper hand, but he chooses to spare his father. The Dweller-in-Darkness escapes the weakened Gate and attacks Shang-Chi. Wenwu saves his son, bequeathing him the rings before being killed by the Dweller-in-Darkness. The Dweller-in-Darkness is eventually killed by the combined efforts of Shang-Chi, the Great Protector, Xialing, and Katy. Following the battle, Shang-Chi and Katy return to San Francisco where they are summoned by the sorcerer Wong (Benedict Wong) to the Sanctum Sanctorum. In a mid-credits scene, Wong introduces Shang-Chi and Katy to Bruce Banner (Mark Ruffalo) and Carol Danvers (Brie Larson). They discover that the ten rings are emitting a mysterious signal. In a post-credits scene, Xialing becomes the new leader of the Ten Rings after telling Shang-Chi that she was going to disband the organisation. Also starring Ronny Chieng as Jon Jon, Tsai Chin as Waipo, Yuen Wah as Master Guang Bo, Jodi Long as Mrs. Chen, Dallas Liu as Ruihua, Paul He as Chancellor Hui and Tsai Chin as Katy's grandmother, with the voice of Tim Roth as Abomination. Liu is suited nicely as the lead hero, Awkwafina is loveable as the hero's high-spirited best friend, Leung is interesting as the half-hero half-villain father, and there is good support from the likes of Yeoh and Kingsley. It is a simple story of a young man who must confront his past and use his mastery in weaponry-based Kung Fu to save the world, the highlights are the fight on the speeding bus and the final epic battle featuring dragons and mythical monsters, I agree the excellent special effects may swamp a lot of what is going on, but a well-written script, many fast-paces sequences, moments of humour, and nods to past martial arts movies help to smooth things out, all together it is an entertaining superhero fantasy action. Good!",positive
7,"I find this film very engaging from start to finish. I couldn't get my eyes off the screen! The Kung Fu is very good, and the visual effects are wonderful. I enjoyed every second of this film.",negative
8,"Having just enjoyed a series of Wong Kar-wei films, it was great to see the star of many of his classic features - Tony Leung - feature in this superior fantasy adventure. He is the man with the magical and all-powerful ten rings and two estranged children. It is only when his son ""Shaun"" (Simu Liu) has a lively altercation with some heavies on a San Francisco bus that he realises there is impending danger, seeks out his independently minded sister and before you know it, the family are - somewhat unwillingly - reunited and working together to rescue their late, lamented mother from the clutches of an evil being protected by a benign society led by Michelle Yeoh. To be honest, the story isn't the best - it's actually a little bit simple and predictable. That said, however, the characterisations are engaging and the action scenes are well staged and paced. There is an interesting underlying premiss that has to resonate now as the planet appears to be fighting back against mankind's accumulated indifference - the Elysian utopia that ""Xu Wenwu"" (Leung) must invade to rescue his wife being symbolic of the unspoilt elements of the planet that have no intention of rolling over peaceably whilst we impose ourselves on it. The production standards are typically high, with plenty of cute and dangerous beasties to suit and please all ages. There is also quite a fun series of scenes from Sir Ben Kingsley as a Liverpudlian poet (maybe his accent isn't the best!) before a stylishly crafted finale. All told, this is a thoroughly entertaining watch that at over two hours flies by.",positive
9,"It's been ten years since Shang-Chi(Liu, charming, stoic) last saw his father, and leader of the criminal empire The Ten Rings, Wenwu(Leung, charismatic enough that we feel a lot of empathy for him, even when he does terrible things that we desperately want him to stop doing). That was also when he last spent time with his sister, Xialing(Zhang, a badass who deserves more screen time. Honestly, I'd be very surprised if she didn't, in future projects). He's joined by his friend Katy(Awkwafina, quirky, providing a lot of comic relief, something I'm told she's in general adept at), for what can best be described as a tense reunion, which allows the movie to really mine the family melodrama, one of the best elements it has. I won't give away exactly what the antagonist intends to do, only that our hero has to stop him. However, he has to figure out how, maybe even if, that is even possible.Not quite, yet almost ""Black Panther for Asian audiences"", this does a lot for representation(including for women. Some of the best characters in this are female. In addition to the two that I've already mentioned, there is also Ying Nan(Yeoh, wise)), it is positively drenched in Chinese culture(the third act, while in ways it feels like it belongs to a completely different film than the first two, takes an especially deep dive into that. Ultimately, it is presented through a Western lens, and clearly we need to go further in this direction, still, it is a big deal that they put so much of it in an estimated $150 to 200 million major blockbuster, which will be seen by millions of people who would never consider watching an art picture, especially one focusing on a group they don't belong to), to the point where countless times, when it makes sense, major characters in this speak Mandarin to each other, rather than English, which it is subtitled into. And ""don't worry"", for those who think that the following is important: there are white people on screen, and they aren't made out to be ""less than"".The action(each sequence of which feels distinct, belongs with the rest, and is memorable) pays tribute to many different kinds of martial arts films, acknowledging that they are standing on the shoulders of giants. Jackie Chan, wuxia, etc. The choreography is matched in skill by the cinematography. Not only are we seeing incredible fighting, the camera is dynamic, celebrating and highlighting how incredible it is. That *is* why you hire Bill Pope, the director of photography on the Matrix trilogy, two of Sam Raimi's Spider-Man entries, Darkman and Team America. The special effects are excellent. There are some issues with pacing, and certainly a chunk of this is composed almost entirely of flashbacks.This features relatively brief but highly concentrated, surprisingly graphic gore(you know, there was a time when the fact that it's happening to beings that clearly are not human, wasn't enough to get away with this kind of thing with a PG-13 rating. Pepperidge Farm remembers), as well as a little strong language. I recommend this to any fan of comic book movie adaptations, and people passionate about diversity hiring. 8/10.",negative
10,"Shang-Chi leaves San Francisco with his friend Katy in pursuit of old family secrets and discovers crime, danger, previously unknown family, quite a lot of wire-fu, ancient myths, and a couple of faces familiar to those who follow the MCU.This is the first MCU movie where I have been completely unfamiliar with the source material and, therefore not sure what to expect other than martial arts.well, I've seen a fair number of martial arts movies (without seeking them out), so the building blocks for Shang-Chi are not unfamiliar.But they are very engagingly assembled. The story is strong, with moral ambivalence playing a part. The action is extremely well choreographed and, at times - and in common with the settings and costumes - quite beautiful. This is a gorgeous film to watch. The effects are, as expected, first rate.The script is good, with much more laughter than I expected. It is helped here by Awkwafina - playing her typical raucous character she adds a welcome note of humorous disrespect, yet she also acts well and is sympathetically in tune with the plot and characters. Michelle Yeoh is stable and relatable. The leading character is, arguably, a little light on charisma, but this is not necessarily a bad thing given that one of the main plot threads is about Shang-Chi finding himself.",negative
